Histórico de cotações - BBAS3,,,,,,,,,,,,,,,
Data,Abertura,Máxima,Mínima,Fechado,Média,Variação,Volume,Quantidade de Ações,Negócios,,,,,,
31/05/12,20.00,1.00,20.00,1.00,19.00,47.00,20.00,19.00,78.00,0,4 %,141906144,7174000,13205,
01/06/12,19.00,45.00,20.00,18.00,19.00,41.00,19.00,95.00,19.00,93,0,25 %,107309040,5383500,13301
04/06/12,19.00,81.00,19.00,93.00,19.00,28.00,19.00,28.00,19.00,54,-3,35 %,118880248,6084000,12804
05/06/12,19.00,47.00,19.00,65.00,18.00,8.00,18.00,8.00,19.00,9,-2,48 %,111045488,5817900,12904
06/06/12,19.00,5.00,19.00,27.00,18.00,87.00,19.00,2.00,19.00,13,2,12 %,170037744,8889700,14652
08/06/12,19.00,26.00,19.00,26.00,18.00,85.00,19.00,22.00,19.00,3,0,1 %,83055192,4365300,13269
11/06/12,19.00,61.00,19.00,89.00,19.00,8.00,19.00,4.00,19.00,42,0,93 %,113725976,5855700,12791
12/06/12,19.00,48.00,19.00,59.00,19.00,1.00,19.00,4.00,19.00,32,0 %,91676592,4744900,9128,
13/06/12,19.00,28.00,19.00,7.00,19.00,16.00,19.00,35.00,19.00,4,0,25 %,212027584,10928200,20177
14/06/12,19.00,37.00,19.00,38.00,19.00,19.00,19.00,18.00,-1.00,8 %,171295872,8933200,16283,,
15/06/12,19.00,12.00,19.00,23.00,18.00,81.00,19.00,19.00,19.00,5,1 %,175215872,9195600,16024,
18/06/12,19.00,17.00,19.00,94.00,19.00,5.00,19.00,94.00,19.00,54,3,9 %,102720104,5256700,12508
19/06/12,20.00,9.00,20.00,91.00,20.00,6.00,20.00,76.00,20.00,55,4,11 %,178361120,8677500,19280
20/06/12,20.00,8.00,20.00,84.00,20.00,33.00,20.00,68.00,20.00,6,0,38 %,115531528,5609600,11906
21/06/12,20.00,7.00,20.00,77.00,20.00,38.00,20.00,49.00,20.00,52,0,91 %,82941496,4041200,9394
22/06/12,20.00,3.00,20.00,39.00,19.00,86.00,19.00,88.00,20.00,3,-1,53 %,96544208,4819100,9048
25/06/12,19.00,65.00,19.00,66.00,18.00,81.00,19.00,1.00,19.00,27,-3,92 %,62882576,3262900,6001
26/06/12,19.00,15.00,19.00,23.00,18.00,61.00,18.00,65.00,18.00,77,-2,35 %,119935832,6390000,14703
27/06/12,18.00,7.00,19.00,1.00,18.00,4.00,18.00,8.00,18.00,8,0,8 %,109089104,5802500,10096
28/06/12,18.00,55.00,18.00,94.00,18.00,53.00,18.00,76.00,18.00,74,0,21 %,70972456,3788000,7559
29/06/12,19.00,35.00,19.00,55.00,19.00,8.00,19.00,53.00,19.00,39,4,1 %,121578408,6271200,11649
02/07/12,19.00,57.00,19.00,65.00,19.00,13.00,19.00,65.00,19.00,48,0,61 %,64496976,3311400,9049
03/07/12,19.00,7.00,20.00,13.00,19.00,65.00,19.00,95.00,19.00,95,1,52 %,81432024,4081600,8165
04/07/12,19.00,87.00,20.00,6.00,19.00,65.00,19.00,95.00,19.00,94,0 %,54660832,2741000,5669,
05/07/12,20.00,5.00,20.00,7.00,19.00,75.00,19.00,9.00,19.00,94,0,25 %,120814400,6057800,11250
06/07/12,19.00,65.00,19.00,74.00,19.00,32.00,19.00,44.00,19.00,43,-2,31 %,74100824,3813700,8931
10/07/12,19.00,54.00,19.00,54.00,18.00,74.00,18.00,88.00,19.00,16,-2,88 %,97850528,5107200,11257
11/07/12,19.00,19.00,18.00,53.00,18.00,56.00,18.00,69.00,-1.00,69 %,84686560,4530300,9995,,
12/07/12,18.00,4.00,18.00,74.00,18.00,18.00,62.00,18.00,41.00,0,32 %,97012440,5269900,9186,
13/07/12,18.00,9.00,18.00,9.00,18.00,2.00,18.00,8.00,18.00,51,0,96 %,99315184,5364800,8793
16/07/12,19.00,15.00,19.00,25.00,18.00,28.00,18.00,34.00,18.00,52,-2,44 %,181323776,9792100,15105
17/07/12,18.00,5.00,18.00,63.00,18.00,9.00,18.00,2.00,18.00,28,0,76 %,142927888,7818400,12191
18/07/12,18.00,3.00,19.00,47.00,18.00,3.00,19.00,47.00,18.00,95,6,97 %,148643312,7842900,12487
19/07/12,19.00,51.00,20.00,7.00,19.00,51.00,19.00,9.00,19.00,95,2,2 %,186571456,9354200,14548
20/07/12,19.00,6.00,20.00,27.00,19.00,55.00,19.00,92.00,20.00,1,0,1 %,162046160,8098800,13599
23/07/12,19.00,45.00,19.00,64.00,19.00,4.00,19.00,55.00,19.00,34,-1,85 %,98541112,5095800,12453
24/07/12,19.00,65.00,19.00,83.00,19.00,49.00,19.00,7.00,19.00,71,0,76 %,97139520,4927500,9379
25/07/12,19.00,95.00,19.00,97.00,19.00,19.00,19.00,25.00,19.00,45,-2,28 %,123192824,6332900,13031
26/07/12,19.00,44.00,20.00,9.00,19.00,44.00,20.00,59.00,20.00,38,6,96 %,287820192,14119600,23218
27/07/12,20.00,94.00,22.00,6.00,20.00,78.00,21.00,63.00,21.00,44,5,05 %,249176720,11623000,19306
30/07/12,21.00,55.00,22.00,21.00,32.00,22.00,21.00,79.00,1.00,71 %,118174224,5424200,11400,,
31/07/12,22.00,6.00,22.00,15.00,21.00,58.00,21.00,8.00,21.00,79,0,9 %,149290400,6850300,12986
01/08/12,21.00,66.00,22.00,39.00,21.00,16.00,22.00,2.00,21.00,94,1,83 %,149590464,6817100,14040
02/08/12,21.00,95.00,22.00,55.00,21.00,92.00,22.00,9.00,22.00,21,0,49 %,159972000,7201800,14698
03/08/12,22.00,7.00,23.00,44.00,22.00,52.00,23.00,12.00,23.00,9,4,66 %,196565248,8511600,17855
06/08/12,23.00,24.00,22.00,8.00,23.00,83.00,23.00,63.00,3.00,07 %,163096176,6903000,15965,,
07/08/12,23.00,81.00,24.00,12.00,23.00,23.00,55.00,23.00,61.00,-1,17 %,181670672,7696200,16774,
08/08/12,23.00,33.00,23.00,95.00,23.00,3.00,23.00,88.00,23.00,67,1,4 %,198916448,8402000,13881
09/08/12,23.00,65.00,23.00,88.00,23.00,24.00,23.00,39.00,23.00,52,-2,05 %,114082744,4850800,11604
10/08/12,23.00,24.00,24.00,29.00,23.00,11.00,24.00,18.00,23.00,84,3,37 %,162848000,6830200,14969
13/08/12,24.00,9.00,24.00,15.00,23.00,39.00,23.00,43.00,23.00,62,-3,1 %,190309680,8057700,15284
14/08/12,23.00,68.00,23.00,81.00,22.00,43.00,22.00,47.00,22.00,79,-4,09 %,260029536,11409500,24977
15/08/12,22.00,31.00,23.00,27.00,22.00,23.00,15.00,22.00,68.00,3,02 %,250339088,11035600,18428,
16/08/12,23.00,4.00,23.00,66.00,22.00,94.00,23.00,55.00,23.00,36,1,72 %,153303808,6563100,14152
17/08/12,23.00,57.00,23.00,85.00,23.00,28.00,23.00,61.00,23.00,6,0,25 %,107283720,4545700,8854
20/08/12,23.00,6.00,23.00,7.00,23.00,23.00,23.00,37.00,23.00,41,-1,01 %,85888216,3669600,9371
21/08/12,23.00,78.00,23.00,78.00,23.00,8.00,23.00,3.00,23.00,37,0,29 %,177114192,7577200,14609
22/08/12,23.00,2.00,23.00,66.00,23.00,5.00,23.00,45.00,23.00,38,1,2 %,128015968,5475100,13130
23/08/12,23.00,27.00,23.00,41.00,22.00,81.00,23.00,11.00,23.00,13,-1,44 %,105090360,4542700,11165
24/08/12,22.00,9.00,23.00,2.00,22.00,48.00,23.00,2.00,22.00,89,0,38 %,114186224,4987500,12173
27/08/12,23.00,13.00,23.00,71.00,22.00,72.00,23.00,54.00,23.00,36,2,25 %,136597872,5846600,16170
28/08/12,23.00,45.00,24.00,25.00,23.00,45.00,24.00,6.00,24.00,6,2,2 %,206597984,8585200,17318
29/08/12,24.00,1.00,24.00,4.00,23.00,59.00,23.00,66.00,23.00,9,-1,66 %,172459232,7216400,16855
30/08/12,23.00,5.00,23.00,64.00,23.00,21.00,23.00,39.00,23.00,36,-1,14 %,100536552,4303500,9307
31/08/12,23.00,7.00,23.00,74.00,23.00,3.00,23.00,18.00,23.00,29,0,89 %,160937216,6909700,13083
03/09/12,23.00,22.00,23.00,53.00,23.00,21.00,23.00,5.00,23.00,38,1,38 %,59130156,2529000,6891
04/09/12,23.00,33.00,23.00,71.00,23.00,14.00,23.00,39.00,23.00,46,0,46 %,83280568,3550300,10673
05/09/12,23.00,55.00,24.00,38.00,23.00,26.00,24.00,21.00,23.00,99,3,5 %,158954224,6624800,17688
06/09/12,24.00,39.00,24.00,98.00,24.00,3.00,24.00,82.00,24.00,82,2,51 %,145324240,5854600,15084
10/09/12,25.00,25.00,34.00,24.00,95.00,25.00,6.00,25.00,16.00,0,96 %,150891600,5998000,12737,
11/09/12,25.00,1.00,25.00,35.00,24.00,75.00,25.00,25.00,25.00,13,0,75 %,138104112,5495400,13256
12/09/12,25.00,13.00,25.00,68.00,25.00,13.00,25.00,51.00,25.00,51,2,2 %,174216096,6829700,16578
13/09/12,25.00,71.00,26.00,24.00,25.00,56.00,26.00,4.00,25.00,95,2,07 %,181875632,7009000,16329
14/09/12,26.00,28.00,26.00,78.00,25.00,75.00,26.00,5.00,26.00,38,1,76 %,189442432,7182600,17018
17/09/12,26.00,52.00,26.00,75.00,26.00,15.00,26.00,34.00,26.00,37,0,6 %,146674944,5562600,15564
18/09/12,26.00,49.00,26.00,49.00,25.00,69.00,25.00,94.00,25.00,91,-1,51 %,145222672,5605300,13943
19/09/12,26.00,5.00,26.00,66.00,25.00,95.00,26.00,45.00,26.00,4,1,96 %,168907216,6397000,16003
20/09/12,26.00,3.00,26.00,7.00,26.00,3.00,26.00,7.00,26.00,4,0,94 %,126650512,4797900,10000
21/09/12,26.00,75.00,26.00,97.00,26.00,52.00,26.00,52.00,26.00,71,0,67 %,126981872,4753700,8300
24/09/12,26.00,45.00,26.00,64.00,26.00,15.00,26.00,42.00,26.00,49,0,37 %,218073808,8233500,10786
25/09/12,26.00,13.00,26.00,39.00,25.00,21.00,25.00,6.00,25.00,58,-3,1 %,282094816,11026900,15318
